contingency name,BES?,Asset1 Contingency,Asset2 Contingency,Asset3 Contingency,Asset4 Contingency,,,
CLI230 R1BF,Y,CLIFF:BANK_1,P58C,,,,,
CLI230 R2BF,Y,P58C,CLIFF:BANK_2,,,,,
CLI230 R3BF,Y,CLIFF:BANK_2,H59C,,,,,
CLI230 R6BF,Y,H59C,CLIFF:BANK_1,,,,,
RAL230 R4BF,N,RAL230 BK3,P52E,,,,,
RAL230 R5BF,N,RAL230 BK3,F27P,,,,,
RAL230 R7BF,Y,F27P,H75P,,,,,
RAL230 R8BF,N,H75P,RAL230 BK1 & BK2,,,,,
RAL230 R9BF,N,RAL230 BK1 & BK2,P58C,,,,,
RAL230 R10BF,Y,P58C,P52E,,,,,
OVE230 R1BF,Y,F27P,F10M,,,,,
OVE230 R3BF,Y,G9F,F10M,,,,,
OVE230 R4BF,Y,F27P,G9F,,,,,
MIN230 R5BF,N,MIN230 BK3,M39V,,,,,
MIN230 R7BF,Y,M39V,F10M,,,,,
MIN230 R8BF,N,F10M,MIN230 BK4,,,,,
ROB230 R1BF,N,ROB230 BK1,R25Y,,,,,
ROB230 R2BF,N,R25Y,ROB230 BK2,,,,,
ROB230 R3BF,N,ROB230 BK2,V57R,,,,,
ROB230 R4BF,N,V57R,ROB230 BK1,,,,,
RES230 R1BF ,Y,R29H,R30E,,,,,
RES230 R2BF,Y,R30E,R7B,,,,,
RES230 R3BF,N,R7B,RES230 BK2,,,,,
RES230 R4BF,N,RES230 BK2,C28R,,,,,
RES230 R5BF,N,C28R,RES230 BK1,,,,,
RES230 R8BF,N,RES230 BK1,R29H,,,,,
VER230 R1BF,N,VER230 BK1,G31V,,,,,
VER230 R2BF,N,VER230 BK2,G31V,,,,,
VER230 R3BF,N,VER230 BK2,A6V,,,,,
VER230 R4BF,Y,A6V,V57R,,,,,
VER230 R6BF,Y,V57R,M39V,,,,,
VER230 R7BF,Y,M39V,V38R,,,,,
VER230 R8BF,N,V38R,VER230 BK1,,,,,
COR230 R1BF,Y,P81C,CORNW:BANK_4,,,,,
COR230 R2BF,Y,P81C,CORNW:BANK_1,,,,,
COR230 R3BF,Y,CORNW:BANK_1,N56C,,,,,
COR230 R4BF,Y,N56C,CORNW:BANK_3,,,,,
COR230 R5BF,Y,CORNW:BANK_4,C28R,,,,,
COR230 R6BF,Y,C28R,CORNW:BANK_2,,,,,
COR230 R7BF,Y,CORNW:BANK_2,G37C,,,,,
COR230 R8BF,Y,G37C,CORNW:BANK_3,,,,,
NEE230 R6BF,N,D54N,NEE230 BK2,,,,,
NEE230 R7BF,N,NEE230 BK2,N56C,,,,,
NEE230 R8BF,Y,N56C,D54N,,,,,
GRA230 R2BF,Y,GRSTCG#1,G8P,,,,,
GRA230 R6BF,Y,GRSTCG#2,G2A,,,,,
GRA230 R10BF,Y,GRAMPG#3,G1A,,,,,
GRA230 R14BF,Y,GRAMPG#4,G9F,,,,,
GRA230 R15BF,Y,G9F,G31V,,,,,
HER230 R1BF,Y,H75P,P18H,,,,,
HER230 R2BF,Y,P18H,HERBL:BANK_1,,,,,
HER230 R3BF,Y,HERBL:BANK_1,W73H,,,,,
HER230 R5BF,Y,H75P,W74H,,,,,
HER230 R6BF,Y,W74H,HERBL:BANK_2,,,,,
HER230 R7BF,Y,H59C,HERBL:BANK_2,,,,,
HER230 R8BF,Y,W73H,H59C,,,,,
MYS230 R1BF,Y,THOMP:BANK_8,B77W,,,,,
MYS230 R2BF,Y,B77W,P19W,,,,,
MYS230 R3BF,Y,P19W,THOMP:BANK_9,,,,,
MYS230 R4BF,Y,THOMP:BANK_8,THOMP:BANK_9,,,,,
WUS230 R14BF,Y,WUSK1G,W73H,,,,,
WUS230 R15BF,Y,W73H,WUSK3G,,,,,
WUS230 R18BF,Y,W76B,WUSK2G,,,,,
WUS230 R19BF,Y,WUSK2G,W74H,,,,,
BIR230 R1BF,Y,K24B,BIRCHTR4,,,,,
BIR230 R5BF,Y,W76B,K24B,,,,,
BIR230 R7BF,Y,W76B,B77W,,,,,
BIR230 R8BF,Y,B77W,BIRCHTR4,,,,,
KEL230 R1BF,Y,R26K,K24B,,,,,
KEL230 R2BF,Y,KELST:BANK_10,R26K,,,,,
KEL230 R3BF,Y,K24B,KELST:BANK_10,,,,,
PON230 R1BF,Y,P19W,G8P,,,,,
PON230 R2BF,Y,P19W,PONTON4,,,,,
PON230 R3BF,Y,P18H,J30P,,,,,
PON230 R4BF,Y,G8P,J30P,,,,,
PON230 R6BF,Y,PONTON4,P18H,,,,,
JEN230 R1BF,N,JEN230 BK1 & BK2,J2,,,,,
JEN230 R2BF,Y,J2,J1,,,,,
JEN230 R3BF,Y,J1,J30P,,,,,
JEN230 R4BF,N,J30P,JEN230 BK1 & BK2,,,,,
ASH230 R1BF,N,ASH230 BK2,A4D,,,,,
ASH230 R3BF,Y,A4D,G2A,,,,,
ASH230 R4BF,N,ASH230 BK1,A4D,,,,,
ASH230 R5BF,N,ASH230 BK2,G1A,,,,,
ASH230 R6BF,Y,G1A,U91A,,,,,
ASH230 R7BF,Y,U91A,A6V,,,,,
ASH230 R8BF,N,A6V,ASH230 BK1,,,,,
SIL230 R1BF,N,S65R,SIL230 BK2,,,,,
SIL230 R2BF,N,U91A,SIL230 BK2,,,,,
SIL230 R4BF,Y,U91A,S65R,,,,,
GLE230 R1BF,N,G37C,GLE230 BK2,,,,,
GLE230 R2BF,N,G37C,GLE230 BK3,,,,,
GLE230 R3BF,N,GLE230 BK3,S53G,,,,,
GLE230 R4BF,N,GLE230 BK1,S53G,,,,,
GLE230 R5BF,N,GLE230 BK1,G82P,,,,,
GLE230 R6BF,N,GLE230 BK2,G82P,,,,,
POR230 R1BF,N,POR230 BK1,D12P,,,,,
POR230 R2BF,N,D12P,POR230 BK2,,,,,
POR230 R3BF,N,P81C,POR230 BK2,,,,,
POR230 R4BF,N,POR230 BK1,P81C,,,,,
LAV230 R9BF,Y,LAVER:BANK_1,Y51L,,,,,
LAV230 R10BF,Y,LAVER:BANK_2,Y51L,,,,,
LAV230 R11BF,N,LAV230 BK5,LAV230 BK2,,,,,
LAV230 R21BF,Y,D55Y,D15Y,,,,,
LAV230 R22BF,Y,D15Y,LAVER:BANK_3,LAVER:BANK_4,,,,
LAV230 R23BF,Y,LAVER:BANK_3,LAVER:BANK_4,D11Y,,,,
LAV230 R24BF,N,LAV230 BK5,D11Y,,,,,
STL230 R1BF,N,S81N,S94E,,,,,
STL230 R2BF,N,STL230 BK4,S94E,,,,,
STL230 R3BF,N,D14S,STL230 BK3,,,,,
STL230 R4BF,N,S81N,D14S,,,,,
STL230 R5BF,Y,S53G,B78S,,,,,
STL230 R6BF,N,B78S,STL230 BK4,,,,,
STL230 R8BF,N,STL230 BK3,S53G,,,,,
ROS230 R5,Y,R23R,D16R,,,,,
ROS230 R6,Y,R23R,ROSSE:BANK_2,,,,,
ROS230 R7,Y,S65R,ROSSE:BANK_2,,,,,
ROS230 R8,Y,D13R,S65R,,,,,
ROS230 R9,Y,D16R,R92U,,,,,
ROS230 R10,Y,R92U,ROSSE:BANK_3,,,,,
ROS230 R11,Y,ROSSE:BANK_3,D5R,,,,,
ROS230 R12,Y,D5R,D13R,,,,,
STA230 R1BF,N,E93L,STA230 BK2,,,,,
STA230 R4BF,N,STA230 BK1,E93L,,,,,
STA230 R5BF,N,STA230 BK1,S94E,,,,,
STA230 R6BF,N,S94E,STA230 BK3,,,,,
STA230 R8BF,N,STA230 BK2,STA230 BK3,,,,,
LET230 R2BF,N,LET230 BK3,Y51L,,,,,
LET230 R3BF Valid to 2023,N,E93L,LET230 BK3,,,,,
LET230 R5BF,Y,Y51L,J89L,,,,,
LET230 R6BF,Y,J89L,L20D,,,,,
LET230 R7BF,N,L20D,LET230 BK4,,,,,
LET230 R8BF,N,LET230 BK4,E93L,,,,,
LET230 R3BF ISD 2024,N,LET230 BK3,G79L,,,,,
LET230 R4BF ISD 2024,Y,G79L,E93L,,,,,
STV230 R3BF,Y,STVIT:BANK_6,M86V,,,,,
STV230 R4BF,Y,STVIT:BANK_8,M86V,,,,,
STV230 R5BF,Y,STVIT:BANK_6,D72V,,,,,
STV230 R6BF,Y,D72V,STVIT:BANK_7,,,,,
STV230 R7BF,Y,STVIT:BANK_7,M87V,,,,,
STV230 R8BF,Y,V78G,M87V,,,,,
STV230 R10BF,Y,V78G,STVIT:BANK_8,,,,,
RIC230 R1BF,N,M88R,RIC230 BK1,,,,,
RIC230 R2BF,N,M88R,RIC230 BK2,,,,,
RIC230 R3BF,N,R50M,RIC230 BK1,,,,,
RIC230 R6BF,N,RIC230 BK2,R50M,,,,,
RID230 R1BF,Y,D36R,M32R,,,,,
RID230 R2BF,N,D36R,RID230 BK1,,,,,
RID230 R3BF,N,R23R,RID230 BK1,,,,,
RID230 R4BF,Y,R23R,M33R,,,,,
RID230 R6BF,Y,M32R,M49R,,,,,
RID230 R16BF,Y,M49R,M33R,,,,,
RIE230 R6BF,Y,M49R,RIELSC2G,,,,,
RIE230 R19BF,Y,M86V,RIELSC3G,,,,,
RIE230 R22BF,Y,RIELSC4G,M87V,,,,,
RIE230 R23BF,Y,RIEL:BANK_T71,M87V,,,,,
KEE230 R7BF,Y,L61K,K62H,,,,,
DOR230 R60BF,Y,A4D,DSYMIL9G,,,,,
DOR230 R57BF,Y,DSYMIL8G,D54N,,,,,
DOR230 R44BF,Y,D12P,DSYMIL7G,,,,,
DOR230 R7BF,Y,D36R,D72V,,,,,
DOR230 R6BF,Y,D36R,DSYEEG13,,,,,
DOR230 R10BF,Y,DSYEEG12,D5R,,,,,
DOR230 R11BF,Y,D5R,D13R,,,,,
DOR230 R16BF,Y,DSYEEG11,D16R,,,,,
DOR230 R17BF,Y,D11Y,D16R,,,,,
DOR230 R21BF,Y,DSYASEAG21,D14S,,,,,
DOR230 R20BF,Y,D15Y,D14S,,,,,
DOR230 R31BF,Y,DSYASEAG23,D55Y,,,,,
LON230 R2BF,Y,L41R,LONGS_1G,LONGS_2G,,,,?
LON230 R5BF,Y,L42R,LONGS_3G,LONGS_4G,,,,?
LON230 R8BF,Y,L48H,LONGS_5G,LONGS_6G,,,,?
LON230 R11BF,Y,L46H,LONGS_7G,LONGS_8G,,,,?
LON230 R14BF,Y,L47H,LONGS_9G,LONGS_10G,,,,?
LON230 R17BF,Y,L43R,L61K,,,,,?
DES230 R2BF,N,V78G,DES230 BK2,,,,,
DES230 R1BF ISD 2022,N,G79L,DES230 BK2,,,,,
BTL230 R1BF,Y,B71T,B69R,,,,,
BTL230 R2BF,Y,B71T,B70H,,,,,
BTL230 R3BF,N,B70H,BIR230 BK3,BIR230 BK4,,,,
BTL230 R4BF,N,B69R,BIR230 BK3,BIR230 BK4,,,,
DES230 R1BF,N,V78G,BK3,,,,,
DES230 R2BF,N,V78G,BK2,,,,,
DES230 R3BF,N,G79L,BK2,,,,,
GRF115 GP1BF,Y,GP1,GS21OE668062,GRTFAL4G,GRTFAL5G,GRTFAL6G,,
GRF115 GS21BF,Y,GP1OE668062,GS21,GRTFAL4G,GRTFAL5G,GRTFAL6G,,
GRF115 GS22BF,Y,GS22 ,SG12OE668062,GRTFAL1G,GRTFAL2G,GRTFAL3G,,
GRF115 SG12BF,Y,GS22OE668062,SG12 ,GRTFAL1G,GRTFAL2G,GRTFAL3G,,
MAN115 R2BF,Y,PQ95,MANIG:BANK_1,,,,,
MAN115 R3BF,Y,PQ95,MANIG:BANK_2,,,,,
PIN115 R1BF,Y,PQ95,PINFLS1G,,,,,
PIN115 R3BF,Y,PINFLS1G,GP1,,,,,
PIN115 R5BF,Y,PINFLS2G,GP1,,,,,
PIN115 R7BF,Y,PINFLS2G,PC4,,,,,
PIN115 R13BF,Y,PINFLS3G,PC4,,,,,
PIN115 R15BF,Y,PINFLS3G,PR2,,,,,
PIN115 R4BF,Y,PINFLS4G,PA2,,,,,
PIN115 R6BF,Y,PINFLS4G,PC3,,,,,
PIN115 R12BF,Y,PINFLS5G,PC3,,,,,
PIN115 R14BF,Y,PINFLS5G,PA1,,,,,
PIN115 R16BF,Y,PINFLS6G,PA1,,,,,
PDB115 PR2BF,Y,PDBGS:BANK_7,PR2,R2,PTDB1-4G,,,
PDB115 R1BF,Y,PDBGS:BANK_7,PR2,R2,PTDB1-4G,,,
SLA115 S1,Y,S1,R1,SLVFL12G,SLVFL34G,,,
SLA115 S2,Y,S2,R2,SLVFL56G,SLVFL78G,,,
SLA115 R1,Y,S1,R1,SLVFL12G,SLVFL34G,,,
SLA115 R2,Y,S2,R2,SLVFL56G,SLVFL78G,,,
